timestamp,doi,social-bonding,credible-signaling,adequacy
10/8/2021 12:21:46,10.1017/S0140525X20001211,2,2,2
10/8/2021 14:46:49,10.1017/S0140525X20001715,4,1,3
10/8/2021 14:47:37,10.1017/S0140525X20001156,2,4,3
10/8/2021 14:54:52,10.1017/S0140525X20001120,1,4,4
10/8/2021 15:03:21,10.1017/S0140525X20001004,2,4,2
10/8/2021 15:25:11,10.1017/S0140525X2000103X,4,3,4
10/8/2021 15:26:25,10.1017/S0140525X20001090,4,4,4
10/8/2021 15:51:35,10.1017/S0140525X20001351,4,3,2
10/8/2021 16:12:50,10.1017/S0140525X20001429,1,5,4
10/8/2021 16:37:46,10.1017/S0140525X20001132,3,1,4
10/8/2021 17:00:48,10.1017/S0140525X2000134X,2,2,3
10/8/2021 17:36:52,10.1017/S0140525X20001168,4,1,2
10/8/2021 18:00:37,10.1017/s0140525x20001272,4,2,2
10/8/2021 18:44:46,10.1017/S0140525X20001466,4,5,3
10/8/2021 19:58:36,10.1017/S0140525X2000165X,2,3,3
10/8/2021 21:28:07,10.1017/S0140525X20001442,4,3,2
10/8/2021 22:31:14,10.1017/S0140525X20001247,5,3,4
10/8/2021 22:41:52,10.1017/S0140525X20001223,3,3,2
10/8/2021 22:51:31,10.1017/S0140525X20001193,4,2,2
10/9/2021 2:33:46,10.1017/S0140525X20001144,4,2,5
10/9/2021 11:32:10,10.1017/S0140525X2000148X,4,2,1
10/9/2021 12:06:10,10.1017/S0140525X20000680,4,4,4
10/10/2021 14:16:08,10.1017/S0140525X20001181,3,3,1
10/10/2021 14:39:52,10.1017/S0140525X20000679,4,3,4
10/10/2021 16:51:48,10.1017/S0140525X20001727,5,4,3
10/10/2021 17:43:21,10.1017/S0140525X20001235,4,4,1
10/11/2021 5:29:04,10.1017/S0140525X20001302,5,3,5
10/11/2021 8:02:09,10.1017/S0140525X20000746,1,2,3
10/11/2021 10:17:16,10.1017/S0140525X20001491,4,2,3
10/11/2021 11:57:21,10.1017/S0140525X20001314,3,2,3
10/11/2021 17:09:40,10.1017/S0140525X20001740,3,2,1
10/12/2021 17:31:53,10.1017/S0140525X20001697,4,4,3
10/13/2021 17:46:04,10.1017/S0140525X2000117X,4,3,2
10/13/2021 17:47:12,10.1017/S0140525X20001260,4,2,2
10/14/2021 13:20:49,10.1017/S0140525X20001089,3,3,1
10/22/2021 11:06:24,10.1017/S0140525X20000813,3,2,2
10/22/2021 11:06:45,10.1017/S0140525X20001326,4,3,4
10/22/2021 12:55:40,10.1017/S0140525X20001028,4,1,1
10/22/2021 13:12:22,10.1017/S0140525X20001478,4,3,3
10/22/2021 14:34:58,10.1017/S0140525X20000977,4,3,5
10/22/2021 19:13:45,10.1017/S0140525X20001338,3,4,2
10/24/2021 16:39:01,10.1017/S0140525X20001016,3,4,3
10/25/2021 4:48:26,10.1017/S0140525X20001363,4,4,2
10/25/2021 20:45:23,10.1017/S0140525X20001752,3,4,2
